revision,block_size,number_of_blocks_in_output_image,overlap_size,number_of_cycles,runtime_ms
baseline,16,12,4,3403493586,1.890830
baseline,16,12,6,4602380000,2.556878
baseline,16,12,8,5638169631,3.132316
baseline,32,12,8,10529774290,5.849875
baseline,32,12,12,14634540851,8.130300
baseline,32,12,16,18053823115,10.029902
baseline,64,12,16,26868583938,14.926991
baseline,64,12,24,37808841366,21.004912
baseline,64,12,32,46720395737,25.955775
baseline,128,12,32,27100931650,15.056073
baseline,128,12,48,38791671297,21.550928
baseline,128,12,64,47661814488,26.478786
opt_4,16,12,4,1950604655,1.083669
opt_4,16,12,6,2428774136,1.349319
opt_4,16,12,8,2888349313,1.604639
opt_4,32,12,8,5310833737,2.950463
opt_4,32,12,12,6955888334,3.864382
opt_4,32,12,16,8478127182,4.710071
opt_4,64,12,16,12327763591,6.848758
opt_4,64,12,24,16989895833,9.438831
opt_4,64,12,32,20920337918,11.622410
opt_4,128,12,32,11992474756,6.662486
opt_4,128,12,48,16261785119,9.034325
opt_4,128,12,64,19880872014,11.044929
opt_5,16,12,4,1406170589,0.781206
opt_5,16,12,6,1653334699,0.918519
opt_5,16,12,8,1849782509,1.027657
opt_5,32,12,8,3638866670,2.021593
opt_5,32,12,12,4457743326,2.476524
opt_5,32,12,16,3096126449,1.720070
opt_5,64,12,16,4686752428,2.603751
opt_5,64,12,24,7921215272,4.400675
opt_5,64,12,32,6317485354,3.509714
opt_5,128,12,32,3751955570,2.084420
opt_5,128,12,48,5259577560,2.921988
opt_5,128,12,64,6100580590,3.389211
opt_6a,16,12,4,1555035682,0.863909
opt_6a,16,12,6,1769126125,0.982848
opt_6a,16,12,8,1832115071,1.017842
opt_6a,32,12,8,3697948721,2.054416
opt_6a,32,12,12,4401133839,2.445074
opt_6a,32,12,16,2336019102,1.297788
opt_6a,64,12,16,3408770380,1.893761
opt_6a,64,12,24,7016317798,3.897954
opt_6a,64,12,32,5430579103,3.016988
opt_6a,128,12,32,3042231739,1.690129
opt_6a,128,12,48,4049957389,2.249976
opt_6a,128,12,64,4815825426,2.675459
opt_6b,16,12,4,378432875,0.210240
opt_6b,16,12,6,482895019,0.268275
opt_6b,16,12,8,502128717,0.278960
opt_6b,32,12,8,1281192350,0.711774
opt_6b,32,12,12,1530023633,0.850013
opt_6b,32,12,16,1203580729,0.668656
opt_6b,64,12,16,3224550149,1.791417
opt_6b,64,12,24,4995125922,2.775070
opt_6b,64,12,32,4309384052,2.394102
opt_6b,128,12,32,3779534486,2.099741
opt_6b,128,12,48,5240485547,2.911381
opt_6b,128,12,64,5972400525,3.318000
opt_6c,16,12,4,632019555,0.351122
opt_6c,16,12,6,738900831,0.410500
opt_6c,16,12,8,955075613,0.530598
opt_6c,32,12,8,2832259787,1.573478
opt_6c,32,12,12,3336606056,1.853670
opt_6c,32,12,16,1793471514,0.996373
opt_6c,64,12,16,3054939415,1.697189
opt_6c,64,12,24,5849476648,3.249709
opt_6c,64,12,32,3812615358,2.118120
opt_6c,128,12,32,2928229381,1.626794
opt_6c,128,12,48,4038689579,2.243716
opt_6c,128,12,64,4368217676,2.426788
opt_6d,16,12,4,1313463971,0.729702
opt_6d,16,12,6,1749270893,0.971817
opt_6d,16,12,8,2129186095,1.182881
opt_6d,32,12,8,3780482746,2.100268
opt_6d,32,12,12,5139889282,2.855494
opt_6d,32,12,16,5900269510,3.277928
opt_6d,64,12,16,7620474356,4.233597
opt_6d,64,12,24,10087470446,5.604150
opt_6d,64,12,32,11517028406,6.398349
opt_6d,128,12,32,1770876608,0.983820
opt_6d,128,12,48,2003917806,1.113288
opt_6d,128,12,64,2060841694,1.144912
opt_9,16,12,4,840239017,0.466799
opt_9,16,12,6,878947666,0.488304
opt_9,16,12,8,802676026,0.445931
opt_9,32,12,8,2898810857,1.610450
opt_9,32,12,12,3695020025,2.052789
opt_9,32,12,16,1917993068,1.065552
opt_9,64,12,16,3400268488,1.889038
opt_9,64,12,24,6308857554,3.504921
opt_9,64,12,32,4426776571,2.459320
opt_9,128,12,32,3038470363,1.688039
opt_9,128,12,48,4259026798,2.366126
opt_9,128,12,64,4481192516,2.489551
opt_10,16,12,4,269338270,0.149632
opt_10,16,12,6,288271233,0.160151
opt_10,16,12,8,245857150,0.136587
opt_10,32,12,8,906589352,0.503661
opt_10,32,12,12,1180231268,0.655684
opt_10,32,12,16,783891284,0.435495
opt_10,64,12,16,1521997597,0.845554
opt_10,64,12,24,3079486434,1.710826
opt_10,64,12,32,2146288129,1.192382
opt_10,128,12,32,2298159124,1.276755
opt_10,128,12,48,3355119378,1.863955
opt_10,128,12,64,3477334051,1.931852
